"id","Email","GroupMembership"
1,"runeal17@student.uia.no",2
2,"31510Sabrina.Coleman@att.com",0
3,"23037Danielle.Flores@microsoft.com",0
4,"33383Luke.Ross@live.com",0
5,"5050Alexis.Anderson@gmx.com",2
6,"29751Alexandra.Hill@live.com",0
7,"33850Justin.Brown@live.com",2
8,"10503Jasmine.Wood@shaw.ca",0
9,"15945Chase.Morris@hotmail.com",1
10,"27138Ryan.Getzlaff@shaw.ca",0
11,"31755Nathan.Russell@telus.net",0
12,"32130Mary.Jackson@shaw.ca",0
13,"30727Isaac.Torres@telus.net",0
14,"9289Faith.Howard@rogers.ca",2
15,"20239Jenna.Hall@live.com",0
16,"11116Brianna.Young@shaw.ca",0
17,"32345Vanessa.Smith@shaw.ca",0
18,"6945Gabrielle.Flores@gmx.com",0
19,"25697Gabriel.Chambers@live.com",1
20,"33750Anthony.Pearson@gmail.com",0
21,"2487Cody.Daeninck@hotmail.com",0
22,"29416Trinity.Martinez@telus.net",0
23,"3352Laura.Thompson@gmx.com",1
24,"6539Laura.Harris@telus.net",0
25,"9827Christopher.Rodriguez@att.com",0
26,"6878Kaitlyn.Perry@hotmail.com",0
27,"34465Aaliyah.Butler@rogers.ca",0
28,"8930Alexandra.Perez@att.com",0
29,"6694Stephanie.Howard@rogers.ca",2
30,"20658Antonio.Robinson@shaw.ca",0
31,"31982Victorina.Hughes@att.com",0
32,"21519Mary.Coleman@hotmail.com",0
33,"34023Caitlin.Ward@hotmail.com",0
34,"21564Julia.Torres@gmx.com",0
35,"24083Isaiah.Baker@hotmail.com",0
36,"17590Dalton.Ratzlaff@gmx.com",2
37,"32033Isabella.MacDonald@gmx.com",0
38,"25864Carlos.Edwards@microsoft.com",0
39,"12819Mia.Reed@gmx.com",2
40,"27332Alexander.Parker@gmx.com",0
41,"3783Emily.Clark@gmx.com",2
42,"35176Jack.Carter@shaw.ca",0
43,"29964Marissa.Cook@gmail.com",0
44,"24152Megan.Patterson@rogers.ca",0
45,"14153Beulah.Choi@live.com",0
46,"14854Kandra.Ward@gmail.com",0
47,"6166Richard.MacKenzie@gmx.com",2
48,"20714Autumn.Daeninck@microsoft.com",0
49,"21656Caitlin.MacDonald@microsoft.com",0
50,"14746Elizabeth.Evans@hotmail.com",0
51,"4014Autumn.Davis@microsoft.com",2
52,"12124Blake.James@hotmail.com",1
