"Id","ActiveUntil","DateRegistered","State","DeviceName","OwnerEmail","MAC","Vlan"
1,"2022-06-13 15:05:06","2021-12-13 15:05:06",0,"Leggings","25546Danielle.Carter@microsoft.com","carles-1430870752","Vlan10"
2,"2022-06-13 14:17:11","2021-12-13 14:17:11",2,"vegan","11265Adam.Thompson@gmx.com","trust-64320952","Vlan4"
3,"2022-06-13 15:55:23","2021-12-13 15:55:23",1,"belly","34634Matthew.Gonzales@gmail.com","man-1963211467","Vlan4"
4,"2022-06-13 14:34:11","2021-12-13 14:34:11",0,"direct","17221Cassandra.Allen@microsoft.com","denim-167430773","Vlan2"
5,"2022-06-13 14:01:46","2021-12-13 14:01:46",0,"Austin","3783Emily.Clark@gmx.com","stumptown-1470378070","Vlan5"
6,"2022-06-13 14:11:02","2021-12-13 14:11:02",0,"post-ironic","8930Alexandra.Perez@att.com","Marfa-324670135","Vlan6"
7,"2022-06-13 14:01:50","2021-12-13 14:01:50",0,"Four","3841Isabel.Sanchez@telus.net","terry-1501483406","Vlan10"
8,"2022-06-13 15:26:06","2021-12-13 15:26:06",0,"craft","29799Courtney.Hall@hotmail.com","direct-315097081","Vlan4"
9,"2022-06-13 14:06:27","2021-12-13 14:06:27",1,"apparel","6694Stephanie.Howard@rogers.ca","Skateboard-21163894","Vlan7"
10,"2022-06-13 13:59:41","2021-12-13 13:59:41",1,"viral","570Christian.Murphy@live.com","fanny-1625035979","Vlan8"
11,"2022-06-13 14:47:16","2021-12-13 14:47:16",2,"richardson","21246Lauren.Russell@microsoft.com","hand-1189442629","Vlan10"
12,"2022-06-13 14:13:07","2021-12-13 14:13:07",2,"direct","9676Lily.Gonzalez@shaw.ca","master-86139497","Vlan6"
13,"2022-06-13 15:54:23","2021-12-13 15:54:23",0,"Ethnic","34465Aaliyah.Butler@rogers.ca","denim-1548257711","Vlan2"
14,"2022-06-13 15:42:30","2021-12-13 15:42:30",2,"VHS","32594Antonio.Diaz@att.com","ennui-1520652433","Vlan1"
15,"2022-06-13 14:18:09","2021-12-13 14:18:09",2,"direct","11567Maya.Clark@shaw.ca","etsy-489842373","Vlan3"
16,"2022-06-13 14:49:27","2021-12-13 14:49:27",2,"Lo-fi","21836Stephen.Ross@gmail.com","hand-2038563315","Vlan1"
17,"2022-06-13 14:47:39","2021-12-13 14:47:39",0,"marfa","21349Zachary.Johnson@rogers.ca","carles-968883440","Vlan10"
18,"2022-06-13 15:46:46","2021-12-13 15:46:46",1,"odd","33222Rosalinda.Foster@hotmail.com","put-33747495","Vlan3"
19,"2022-06-13 14:26:07","2021-12-13 14:26:07",1,"narwhal","14607Brendan.Pearson@gmx.com","apparel-1292008387","Vlan3"
20,"2022-06-13 14:06:51","2021-12-13 14:06:51",1,"pickled","6945Gabrielle.Flores@gmx.com","helvetica-1206551049","Vlan2"
21,"2022-06-13 15:30:43","2021-12-13 15:30:43",0,"carles","30621Charles.Barnes@microsoft.com","apparel-2089007906","Vlan1"
